Linux 7.0.0-31-generic (ausitn-garcia-ROG-Zephyrus-G14-GA402XV-GA402XV) 	09/18/26 	_x86_64_	(16 CPU)

21:48:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:49:27      12    2.02    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   96.77
21:49:27      13    5.86    0.00    1.41    0.00    0.00    0.20    0.00    0.00    0.00   92.53
21:49:27      14    2.82    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   96.38
21:49:27      15    2.23    0.00    0.81    0.00    0.00    0.41    0.00    0.00    0.00   96.55

21:49:27     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:49:32     all    3.62    0.00    1.23    0.04    0.00    0.57    0.00    0.00    0.00   94.55
21:49:32       0    1.18    0.00    0.39    0.00    0.00    4.13    0.00    0.00    0.00   94.29
21:49:32       1    3.04    0.00    1.62    0.20    0.00    1.22    0.00    0.00    0.00   93.91
21:49:32       2    2.82    0.00    1.01    0.00    0.00    0.40    0.00    0.00    0.00   95.77
21:49:32       3    7.23    0.00    2.21    0.00    0.00    0.40    0.00    0.00    0.00   90.16
21:49:32       4    5.06    0.00    1.42    0.20    0.00    0.20    0.00    0.00    0.00   93.12
21:49:32       5    8.82    0.00    2.20    0.20    0.00    0.40    0.00    0.00    0.00   88.38
21:49:32       6    3.63    0.00    1.61    0.00    0.00    0.20    0.00    0.00    0.00   94.56
21:49:32       7    6.24    0.00    1.61    0.00    0.00    0.60    0.00    0.00    0.00   91.55
21:49:32       8    2.01    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   96.78
21:49:32       9    1.41    0.00    0.61    0.00    0.00    0.20    0.00    0.00    0.00   97.78
21:49:32      10    1.45    0.00    0.41    0.00    0.00    0.00    0.00    0.00    0.00   98.14
21:49:32      11    3.84    0.00    1.21    0.00    0.00    0.20    0.00    0.00    0.00   94.75
21:49:32      12    1.82    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   96.97
21:49:32      13    3.82    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.18
21:49:32      14    2.41    0.00    1.01    0.00    0.00    0.40    0.00    0.00    0.00   96.18
21:49:32      15    3.02    0.00    1.41    0.00    0.00    0.20    0.00    0.00    0.00   95.36

21:49:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:49:37     all    3.58    0.00    1.04    0.00    0.00    0.65    0.00    0.00    0.00   94.73
21:49:37       0    1.36    0.00    0.58    0.00    0.00    5.24    0.00    0.00    0.00   92.82
21:49:37       1    2.64    0.00    1.01    0.00    0.00    1.22    0.00    0.00    0.00   95.13
21:49:37       2    2.63    0.00    0.81    0.00    0.00    0.40    0.00    0.00    0.00   96.16
21:49:37       3    6.90    0.00    1.22    0.00    0.00    0.41    0.00    0.00    0.00   91.48
21:49:37       4    6.05    0.00    1.61    0.00    0.00    0.40    0.00    0.00    0.00   91.94
21:49:37       5    9.51    0.00    1.42    0.00    0.00    0.40    0.00    0.00    0.00   88.66
21:49:37       6    5.04    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   93.75
21:49:37       7    4.02    0.00    1.61    0.00    0.00    0.40    0.00    0.00    0.00   93.96
21:49:37       8    1.80    0.00    0.80    0.00    0.00    0.20    0.00    0.00    0.00   97.19
21:49:37       9    1.21    0.00    0.81    0.00    0.00    0.00    0.00    0.00    0.00   97.98
21:49:37      10    1.44    0.00    0.82    0.00    0.00    0.00    0.00    0.00    0.00   97.74
21:49:37      11    3.62    0.00    0.80    0.00    0.00    0.20    0.00    0.00    0.00   95.37
21:49:37      12    1.21    0.00    0.81    0.00    0.00    0.40    0.00    0.00    0.00   97.58
21:49:37      13    4.82    0.00    1.61    0.00    0.00    0.40    0.00    0.00    0.00   93.17
21:49:37      14    2.21    0.00    1.00    0.00    0.00    0.40    0.00    0.00    0.00   96.39
21:49:37      15    2.82    0.00    0.81    0.00    0.00    0.00    0.00    0.00    0.00   96.37

