Linux 7.0.0-31-generic (ausitn-garcia-ROG-Zephyrus-G14-GA402XV-GA402XV) 	09/18/26 	_x86_64_	(16 CPU)

21:29:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:30:44       3    3.63    0.00    1.21    0.00    0.00    0.40    0.00    0.00    0.00   94.76
21:30:44       4    1.61    0.00    1.21    0.00    0.00    0.40    0.00    0.00    0.00   96.77
21:30:44       5    4.37    0.00    1.39    0.00    0.00    0.60    0.00    0.00    0.00   93.64
21:30:44       6    2.01    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   97.18
21:30:44       7    2.83    0.00    1.42    0.40    0.00    0.40    0.00    0.00    0.00   94.94
21:30:44       8    1.01    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.39
21:30:44       9    0.80    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.79
21:30:44      10    0.81    0.00    0.41    0.00    0.00    0.00    0.00    0.00    0.00   98.78
21:30:44      11    2.01    0.00    0.80    0.00    0.00    0.20    0.00    0.00    0.00   96.98
21:30:44      12    0.81    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.79
21:30:44      13    1.62    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   97.78
21:30:44      14    0.60    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.79
21:30:44      15    1.41    0.00    0.40    0.00    0.00    0.40    0.00    0.00    0.00   97.79

21:30:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:30:49     all    1.56    0.00    0.79    0.13    0.00    0.40    0.00    0.00    0.00   97.12
21:30:49       0    0.80    0.00    0.60    0.00    0.00    1.20    0.00    0.00    0.00   97.40
21:30:49       1    1.01    0.00    0.40    0.00    0.00    0.61    0.00    0.00    0.00   97.98
21:30:49       2    0.80    0.00    0.40    0.00    0.00    0.40    0.00    0.00    0.00   98.39
21:30:49       3    3.43    0.00    1.62    0.00    0.00    0.61    0.00    0.00    0.00   94.34
21:30:49       4    1.61    0.00    1.00    0.00    0.00    0.60    0.00    0.00    0.00   96.79
21:30:49       5    3.21    0.00    1.60    0.00    0.00    0.80    0.00    0.00    0.00   94.39
21:30:49       6    2.37    0.00    0.99    0.00    0.00    0.40    0.00    0.00    0.00   96.25
21:30:49       7    2.81    0.00    1.41    0.40    0.00    0.40    0.00    0.00    0.00   94.98
21:30:49       8    0.80    0.00    0.60    0.20    0.00    0.20    0.00    0.00    0.00   98.19
21:30:49       9    0.60    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.79
21:30:49      10    0.81    0.00    0.61    0.00    0.00    0.20    0.00    0.00    0.00   98.37
21:30:49      11    1.21    0.00    0.60    0.40    0.00    0.20    0.00    0.00    0.00   97.58
21:30:49      12    1.01    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   98.19
21:30:49      13    2.42    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   96.57
21:30:49      14    1.01    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.39
21:30:49      15    1.01    0.00    0.60    1.01    0.00    0.00    0.00    0.00    0.00   97.38

21:30:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:30:54     all    1.47    0.00    0.74    0.00    0.00    0.35    0.00    0.00    0.00   97.43
21:30:54       0    1.01    0.00    0.20    0.00    0.00    1.21    0.00    0.00    0.00   97.59
21:30:54       1    0.61    0.00    0.41    0.00    0.00    0.41    0.00    0.00    0.00   98.58
21:30:54       2    1.01    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.59
21:30:54       3    3.64    0.00    1.42    0.00    0.00    0.61    0.00    0.00    0.00   94.33
21:30:54       4    2.59    0.00    1.00    0.00    0.00    0.20    0.00    0.00    0.00   96.21
21:30:54       5    4.02    0.00    1.61    0.00    0.00    0.80    0.00    0.00    0.00   93.57
21:30:54       6    1.41    0.00    0.80    0.00    0.00    0.20    0.00    0.00    0.00   97.59
21:30:54       7    3.20    0.00    1.60    0.00    0.00    0.40    0.00    0.00    0.00   94.80
21:30:54       8    0.81    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.59
21:30:54       9    0.40    0.00    0.20    0.00    0.00    0.20    0.00    0.00    0.00   99.19
21:30:54      10    1.02    0.00    0.61    0.00    0.00    0.00    0.00    0.00    0.00   98.37
21:30:54      11    0.60    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.79
21:30:54      12    0.60    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   98.59
21:30:54      13    1.20    0.00    1.20    0.00    0.00    0.60    0.00    0.00    0.00   96.99
21:30:54      14    0.60    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   98.59
21:30:54      15    0.81    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.59

21:30:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:30:59     all    1.50    0.00    0.86    0.04    0.00    0.34    0.00    0.00    0.00   97.27
21:30:59       0    1.58    0.00    0.79    0.00    0.00    1.78    0.00    0.00    0.00   95.84
21:30:59       1    1.01    0.00    0.60    0.00    0.00    0.60    0.00    0.00    0.00   97.78
21:30:59       2    1.21    0.00    1.01    0.20    0.00    0.40    0.00    0.00    0.00   97.18
21:30:59       3    4.44    0.00    1.41    0.20    0.00    0.40    0.00    0.00    0.00   93.55
21:30:59       4    1.81    0.00    1.21    0.00    0.00    0.20    0.00    0.00    0.00   96.78
21:30:59       5    3.23    0.00    2.42    0.00    0.00    0.20    0.00    0.00    0.00   94.14
21:30:59       6    1.79    0.00    1.20    0.00    0.00    0.40    0.00    0.00    0.00   96.61
21:30:59       7    2.42    0.00    1.21    0.20    0.00    0.40    0.00    0.00    0.00   95.76
21:30:59       8    1.00    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   98.19
21:30:59       9    0.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.99
21:30:59      10    0.41    0.00    0.41    0.00    0.00    0.20    0.00    0.00    0.00   98.98
21:30:59      11    1.01    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   98.39
21:30:59      12    1.20    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.19
21:30:59      13    1.02    0.00    0.61    0.00    0.00    0.20    0.00    0.00    0.00   98.17
21:30:59      14    0.60    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.79
21:30:59      15    0.61    0.00    0.20    0.00    0.00    0.20    0.00    0.00    0.00   98.99

21:30:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
